"setting","estimate","std_error","conf_low","conf_high","event_time","reference_period"
"Ideal: parallel trends",-0.0286443168559684,0.0703131616549595,-0.166455581338832,0.109166947626895,-4,FALSE
"Ideal: parallel trends",-0.0254674236709831,0.0819308554169807,-0.186048949510824,0.135114102168857,-3,FALSE
"Ideal: parallel trends",-0.0195885352115153,0.0872552579060081,-0.190605698169045,0.151428627746014,-2,FALSE
"Ideal: parallel trends",0,NA,NA,NA,-1,TRUE
"Ideal: parallel trends",0.308220384007181,0.0777915380897342,0.155751771049326,0.460688996965036,0,FALSE
"Ideal: parallel trends",0.331708161127406,0.0955148269505329,0.144502540314786,0.518913781940026,1,FALSE
"Ideal: parallel trends",0.282663474711219,0.0805293692020827,0.124828811377408,0.44049813804503,2,FALSE
"Ideal: parallel trends",0.265127597171869,0.0805444123085838,0.107263449891101,0.422991744452638,3,FALSE
"Ideal: parallel trends",0.270806550273142,0.0834356763843347,0.107275629534107,0.434337471012177,4,FALSE
"Ideal: parallel trends",0.297767159298972,0.0862827542398605,0.128656068501925,0.466878250096019,5,FALSE
"Ideal: parallel trends",0.296349059011848,0.0780361063083167,0.143401101153809,0.449297016869888,6,FALSE
"Ideal: parallel trends",0.284025439879911,0.0748120146230706,0.137396585607809,0.430654294152014,7,FALSE
"Ideal: parallel trends",0.355222608182633,0.086340916706454,0.185997521045811,0.524447695319456,8,FALSE
"Ideal: parallel trends",0.270349868399115,0.0688346476253216,0.135436438164979,0.405263298633251,9,FALSE
"Failure: different untreated trends",-0.208644316855969,0.0703131616549597,-0.346455581338833,-0.0708330523731054,-4,FALSE
"Failure: different untreated trends",-0.145467423670985,0.0819308554169808,-0.306048949510826,0.0151141021688558,-3,FALSE
"Failure: different untreated trends",-0.0795885352115166,0.0872552579060083,-0.250605698169047,0.0914286277460134,-2,FALSE
"Failure: different untreated trends",0,NA,NA,NA,-1,TRUE
"Failure: different untreated trends",0.368220384007181,0.077791538089734,0.215751771049327,0.520688996965036,0,FALSE
"Failure: different untreated trends",0.451708161127405,0.0955148269505327,0.264502540314785,0.638913781940025,1,FALSE
"Failure: different untreated trends",0.462663474711217,0.0805293692020827,0.304828811377406,0.620498138045028,2,FALSE
"Failure: different untreated trends",0.50512759717187,0.0805444123085834,0.347263449891102,0.662991744452638,3,FALSE
"Failure: different untreated trends",0.570806550273142,0.0834356763843345,0.407275629534107,0.734337471012176,4,FALSE
"Failure: different untreated trends",0.657767159298972,0.0862827542398609,0.488656068501924,0.82687825009602,5,FALSE
"Failure: different untreated trends",0.71634905901185,0.078036106308316,0.563401101153811,0.869297016869888,6,FALSE
"Failure: different untreated trends",0.764025439879912,0.0748120146230706,0.61739658560781,0.910654294152014,7,FALSE
"Failure: different untreated trends",0.895222608182634,0.0863409167064538,0.725997521045812,1.06444769531946,8,FALSE
"Failure: different untreated trends",0.870349868399116,0.0688346476253213,0.73543643816498,1.00526329863325,9,FALSE
