"year","country","youth_cycling_registrations","unit_type"
2008,"Croatia",4.79063758161339,"Donor"
2009,"Croatia",5.07745915417677,"Donor"
2010,"Croatia",5.3883764759822,"Donor"
2011,"Croatia",5.60927834949342,"Donor"
2012,"Croatia",5.90717287633061,"Donor"
2013,"Croatia",6.02121764278553,"Donor"
2014,"Croatia",6.25028649001505,"Donor"
2015,"Croatia",6.45868767814875,"Donor"
2016,"Croatia",6.57547254452732,"Donor"
2017,"Croatia",6.78877696799109,"Donor"
2018,"Croatia",6.98360699959218,"Donor"
2019,"Croatia",7.26455673084122,"Donor"
2020,"Croatia",7.55057280252446,"Donor"
2021,"Croatia",7.80446426964978,"Donor"
2022,"Croatia",8.09065307377816,"Donor"
2023,"Croatia",8.43848669357574,"Donor"
2024,"Croatia",8.61757111535194,"Donor"
2008,"Estonia",5.35453796606256,"Donor"
2009,"Estonia",5.53088231036406,"Donor"
2010,"Estonia",5.75070967723248,"Donor"
2011,"Estonia",5.9023191932266,"Donor"
2012,"Estonia",5.98944782195082,"Donor"
2013,"Estonia",6.12781245852676,"Donor"
2014,"Estonia",6.1783754147806,"Donor"
2015,"Estonia",6.29623106232639,"Donor"
2016,"Estonia",6.44716289534326,"Donor"
2017,"Estonia",6.63003404479018,"Donor"
2018,"Estonia",6.83397756867624,"Donor"
2019,"Estonia",7.00030609750254,"Donor"
2020,"Estonia",7.27248515956969,"Donor"
2021,"Estonia",7.42898098815922,"Donor"
2022,"Estonia",7.6629458849711,"Donor"
2023,"Estonia",7.83700738986581,"Donor"
2024,"Estonia",7.96280752405969,"Donor"
2008,"Finland",5.86800273684734,"Donor"
2009,"Finland",5.9682027545811,"Donor"
2010,"Finland",6.12451401177081,"Donor"
2011,"Finland",6.34753171862305,"Donor"
2012,"Finland",6.54803248977074,"Donor"
2013,"Finland",6.68589968321476,"Donor"
2014,"Finland",6.9810405181173,"Donor"
2015,"Finland",7.14400488153851,"Donor"
2016,"Finland",7.44103368608021,"Donor"
2017,"Finland",7.68744989734601,"Donor"
2018,"Finland",7.94086436737825,"Donor"
2019,"Finland",8.08093478742833,"Donor"
2020,"Finland",8.30244309424615,"Donor"
2021,"Finland",8.43186723678649,"Donor"
2022,"Finland",8.5865400028671,"Donor"
2023,"Finland",8.72525510336853,"Donor"
2024,"Finland",8.8636063303692,"Donor"
2008,"Ireland",4.60672797003089,"Donor"
2009,"Ireland",4.79948902079112,"Donor"
2010,"Ireland",5.01046085975825,"Donor"
2011,"Ireland",5.1908530769561,"Donor"
2012,"Ireland",5.47704943498335,"Donor"
2013,"Ireland",5.82342309066226,"Donor"
2014,"Ireland",6.16755416028565,"Donor"
2015,"Ireland",6.51814512500153,"Donor"
2016,"Ireland",6.84658018684322,"Donor"
2017,"Ireland",7.07682371934407,"Donor"
2018,"Ireland",7.34618257663862,"Donor"
2019,"Ireland",7.59066789110201,"Donor"
2020,"Ireland",7.80721666844427,"Donor"
2021,"Ireland",7.95467933656726,"Donor"
2022,"Ireland",8.16454676642739,"Donor"
2023,"Ireland",8.39989482172103,"Donor"
2024,"Ireland",8.59680470331928,"Donor"
2008,"Latvia",4.99098038066736,"Donor"
2009,"Latvia",5.16374885450199,"Donor"
2010,"Latvia",5.43353996921827,"Donor"
2011,"Latvia",5.44946816938179,"Donor"
2012,"Latvia",5.58057446638763,"Donor"
2013,"Latvia",5.76461759411932,"Donor"
2014,"Latvia",5.89618825240615,"Donor"
2015,"Latvia",6.00442424712544,"Donor"
2016,"Latvia",6.21175988276331,"Donor"
2017,"Latvia",6.40750906867545,"Donor"
2018,"Latvia",6.6829154821181,"Donor"
2019,"Latvia",6.9064032240355,"Donor"
2020,"Latvia",7.14103697834781,"Donor"
2021,"Latvia",7.37430246051284,"Donor"
2022,"Latvia",7.55000734551224,"Donor"
2023,"Latvia",7.7398083552644,"Donor"
2024,"Latvia",7.87055067717272,"Donor"
2008,"Lithuania",5.62972668549259,"Donor"
2009,"Lithuania",5.82160683760138,"Donor"
2010,"Lithuania",5.96836559180547,"Donor"
2011,"Lithuania",6.18405562898993,"Donor"
2012,"Lithuania",6.32494853720317,"Donor"
2013,"Lithuania",6.4652617686933,"Donor"
2014,"Lithuania",6.63882261270242,"Donor"
2015,"Lithuania",6.83233933476603,"Donor"
2016,"Lithuania",7.13343594206191,"Donor"
