"scenario","year","observed_slovenia","simulated_no_star_slovenia","synthetic_slovenia","true_effect","estimated_gap"
"Ideal: convex-hull support",2008,5.24596855632015,5.24596855632015,5.24299161337563,0,0.00297694294452189
"Ideal: convex-hull support",2009,5.43188347404132,5.43188347404132,5.44031356712561,0,-0.00843009308428755
"Ideal: convex-hull support",2010,5.65621042771477,5.65621042771477,5.64876329671636,0,0.00744713099840855
"Ideal: convex-hull support",2011,5.83284305754905,5.83284305754905,5.84901086879194,0,-0.0161678112428838
"Ideal: convex-hull support",2012,6.06055645932756,6.06055645932756,6.04456011377418,0,0.015996345553372
"Ideal: convex-hull support",2013,6.22889231531987,6.22889231531987,6.20825147997001,0,0.0206408353498553
"Ideal: convex-hull support",2014,6.38275651484848,6.38275651484848,6.41660880062873,0,-0.033852285780247
"Ideal: convex-hull support",2015,6.61618052528494,6.61618052528494,6.61901894067917,0,-0.00283841539423602
"Ideal: convex-hull support",2016,6.88374371202307,6.88374371202307,6.85556623280835,0,0.0281774792147189
"Ideal: convex-hull support",2017,7.09396219060273,7.09396219060273,7.07642922771734,0,0.0175329628853884
"Ideal: convex-hull support",2018,7.28798004646588,7.28798004646588,7.31584945923967,0,-0.027869412773784
"Ideal: convex-hull support",2019,8.01257349759533,7.51257349759533,7.55170407594616,0.5,0.460869421649173
"Ideal: convex-hull support",2020,9.29746838442022,7.79746838442022,7.80582003704731,1.5,1.49164834737291
"Ideal: convex-hull support",2021,10.5041708833198,8.00417088331984,7.9906789271403,2.5,2.51349195617954
"Ideal: convex-hull support",2022,11.3897038539786,8.18970385397863,8.20331075584692,3.2,3.18639309813172
"Ideal: convex-hull support",2023,12.1983812049658,8.39838120496584,8.42217024769588,3.8,3.77621095726996
"Ideal: convex-hull support",2024,12.7933145479664,8.59331454796642,8.58542472498746,4.2,4.20788982297896
"Failure: no convex-hull support",2008,5.24596855632015,5.24596855632015,5.86800273684733,0,-0.622034180527182
"Failure: no convex-hull support",2009,5.45688347404132,5.45688347404132,5.96820275458109,0,-0.511319280539773
"Failure: no convex-hull support",2010,5.75621042771477,5.75621042771477,6.12451401177081,0,-0.368303584056035
"Failure: no convex-hull support",2011,6.05784305754905,6.05784305754905,6.34753171862304,0,-0.289688661073994
"Failure: no convex-hull support",2012,6.46055645932756,6.46055645932756,6.54803248977074,0,-0.0874760304431836
"Failure: no convex-hull support",2013,6.85389231531987,6.85389231531987,6.68589968321476,0,0.167992632105112
"Failure: no convex-hull support",2014,7.28275651484848,7.28275651484848,6.98104051811729,0,0.30171599673119
"Failure: no convex-hull support",2015,7.84118052528494,7.84118052528494,7.14400488153851,0,0.697175643746426
"Failure: no convex-hull support",2016,8.48374371202307,8.48374371202307,7.44103368608021,0,1.04271002594287
"Failure: no convex-hull support",2017,9.11896219060273,9.11896219060273,7.68744989734601,0,1.43151229325672
"Failure: no convex-hull support",2018,9.78798004646588,9.78798004646588,7.94086436737825,0,1.84711567908763
"Failure: no convex-hull support",2019,11.0375734975953,10.5375734975953,8.08093478742832,0.5,2.95663871016701
"Failure: no convex-hull support",2020,12.8974683844202,11.3974683844202,8.30244309424615,1.5,4.59502529017407
"Failure: no convex-hull support",2021,14.7291708833198,12.2291708833198,8.43186723678649,2.5,6.29730364653336
"Failure: no convex-hull support",2022,16.2897038539786,13.0897038539786,8.5865400028671,3.2,7.70316385111153
"Failure: no convex-hull support",2023,17.8233812049658,14.0233812049658,8.72525510336853,3.8,9.0981261015973
"Failure: no convex-hull support",2024,19.1933145479664,14.9933145479664,8.8636063303692,4.2,10.3297082175972
