"scenario","date","period","post_treatment","observed_accident_rate","untreated_accident_rate","true_policy_effect","concurrent_policy_effect"
"Ideal: stable untreated process",2018-01-01,1,FALSE,11.2077229046466,11.2077229046466,0,0
"Ideal: stable untreated process",2018-02-01,2,FALSE,11.2193989189826,11.2193989189826,0,0
"Ideal: stable untreated process",2018-03-01,3,FALSE,11.1910385248236,11.1910385248236,0,0
"Ideal: stable untreated process",2018-04-01,4,FALSE,10.8092365042228,10.8092365042228,0,0
"Ideal: stable untreated process",2018-05-01,5,FALSE,10.6051294050021,10.6051294050021,0,0
"Ideal: stable untreated process",2018-06-01,6,FALSE,10.6198402287331,10.6198402287331,0,0
"Ideal: stable untreated process",2018-07-01,7,FALSE,9.96774762242177,9.96774762242177,0,0
"Ideal: stable untreated process",2018-08-01,8,FALSE,10.0681177200655,10.0681177200655,0,0
"Ideal: stable untreated process",2018-09-01,9,FALSE,10.2894230660583,10.2894230660583,0,0
"Ideal: stable untreated process",2018-10-01,10,FALSE,10.1822683232626,10.1822683232626,0,0
"Ideal: stable untreated process",2018-11-01,11,FALSE,10.4362598886615,10.4362598886615,0,0
"Ideal: stable untreated process",2018-12-01,12,FALSE,10.6239374354429,10.6239374354429,0,0
"Ideal: stable untreated process",2019-01-01,13,FALSE,10.8204400845821,10.8204400845821,0,0
"Ideal: stable untreated process",2019-02-01,14,FALSE,10.8673237504354,10.8673237504354,0,0
"Ideal: stable untreated process",2019-03-01,15,FALSE,10.512738860997,10.512738860997,0,0
"Ideal: stable untreated process",2019-04-01,16,FALSE,10.5129974692979,10.5129974692979,0,0
"Ideal: stable untreated process",2019-05-01,17,FALSE,10.1525842839708,10.1525842839708,0,0
"Ideal: stable untreated process",2019-06-01,18,FALSE,10.1800279939579,10.1800279939579,0,0
"Ideal: stable untreated process",2019-07-01,19,FALSE,10.0694302877583,10.0694302877583,0,0
"Ideal: stable untreated process",2019-08-01,20,FALSE,9.975288449287,9.975288449287,0,0
"Ideal: stable untreated process",2019-09-01,21,FALSE,9.96100193464033,9.96100193464033,0,0
"Ideal: stable untreated process",2019-10-01,22,FALSE,10.2456862087625,10.2456862087625,0,0
"Ideal: stable untreated process",2019-11-01,23,FALSE,10.1132261135855,10.1132261135855,0,0
"Ideal: stable untreated process",2019-12-01,24,FALSE,10.5378391396818,10.5378391396818,0,0
"Ideal: stable untreated process",2020-01-01,25,FALSE,10.7666354838395,10.7666354838395,0,0
"Ideal: stable untreated process",2020-02-01,26,FALSE,11.2720270765387,11.2720270765387,0,0
"Ideal: stable untreated process",2020-03-01,27,FALSE,11.1215520528716,11.1215520528716,0,0
"Ideal: stable untreated process",2020-04-01,28,FALSE,10.8074653251278,10.8074653251278,0,0
"Ideal: stable untreated process",2020-05-01,29,FALSE,10.4635254750078,10.4635254750078,0,0
"Ideal: stable untreated process",2020-06-01,30,FALSE,10.4819328290009,10.4819328290009,0,0
"Ideal: stable untreated process",2020-07-01,31,FALSE,10.1352758918895,10.1352758918895,0,0
"Ideal: stable untreated process",2020-08-01,32,FALSE,9.94711214615616,9.94711214615616,0,0
"Ideal: stable untreated process",2020-09-01,33,FALSE,10.2340742147806,10.2340742147806,0,0
"Ideal: stable untreated process",2020-10-01,34,FALSE,10.2784433132311,10.2784433132311,0,0
"Ideal: stable untreated process",2020-11-01,35,FALSE,10.395964377962,10.395964377962,0,0
"Ideal: stable untreated process",2020-12-01,36,FALSE,10.6950142996331,10.6950142996331,0,0
"Ideal: stable untreated process",2021-01-01,37,FALSE,10.8956245789087,10.8956245789087,0,0
"Ideal: stable untreated process",2021-02-01,38,FALSE,10.8029454641108,10.8029454641108,0,0
"Ideal: stable untreated process",2021-03-01,39,FALSE,10.8549903221606,10.8549903221606,0,0
"Ideal: stable untreated process",2021-04-01,40,FALSE,10.5273148957775,10.5273148957775,0,0
"Ideal: stable untreated process",2021-05-01,41,FALSE,10.318726525087,10.318726525087,0,0
"Ideal: stable untreated process",2021-06-01,42,FALSE,9.79150212555514,9.79150212555514,0,0
"Ideal: stable untreated process",2021-07-01,43,FALSE,9.3675624059293,9.3675624059293,0,0
"Ideal: stable untreated process",2021-08-01,44,FALSE,9.29470202883373,9.29470202883373,0,0
