"person_id","education_years","simulated_latent_ability","simulated_service_preference","simulated_principal_stratum","simulated_treatment_effect","simulated_earnings_without_service","simulated_earnings_with_service","scenario","simulated_lottery_order","draft_eligible","served_military","annual_earnings_thousands"
1,12,0.750117820516264,-0.451557502479159,"Never-taker",-3.5,38.7137245871233,35.2137245871233,"Failure: non-random eligibility",2593,0,0,38.7137245871233
2,13,1.21244138597656,-0.524415961487428,"Never-taker",-3.5,40.9409779721434,37.4409779721434,"Failure: non-random eligibility",3536,0,0,40.9409779721434
3,13,0.910295266283122,-1.4903921450657,"Never-taker",-3.5,45.4729220478211,41.9729220478211,"Failure: non-random eligibility",646,1,0,45.4729220478211
4,13,-0.31724842139007,0.559049923347842,"Complier",-5,45.7078236693054,40.7078236693054,"Failure: non-random eligibility",631,1,1,40.7078236693054
5,11,-0.747065104634614,-1.56261436117629,"Never-taker",-3.5,35.717214390951,32.217214390951,"Failure: non-random eligibility",525,1,0,35.717214390951
6,11,-0.923264792740913,-0.247962641349298,"Never-taker",-3.5,43.2596550453109,39.7596550453109,"Failure: non-random eligibility",4323,0,0,43.2596550453109
7,11,-0.744598993443164,-0.335996254480193,"Never-taker",-3.5,37.668637550259,34.168637550259,"Failure: non-random eligibility",276,1,0,37.668637550259
8,13,0.371494313928772,-0.365673927990954,"Never-taker",-3.5,39.6804268569411,36.1804268569411,"Failure: non-random eligibility",1989,1,0,39.6804268569411
9,15,2.07239325032279,0.374306728012568,"Complier",-5,50.1495076161581,45.1495076161581,"Failure: non-random eligibility",3472,0,0,50.1495076161581
10,13,0.378992149109183,0.213030395176794,"Complier",-5,42.7554489973615,37.7554489973615,"Failure: non-random eligibility",1495,1,1,37.7554489973615
11,13,-0.462183357910866,0.606042392750049,"Complier",-5,46.4476561185995,41.4476561185995,"Failure: non-random eligibility",4463,0,0,46.4476561185995
12,10,-1.54981401125813,-1.27992790820027,"Never-taker",-3.5,42.1118372527195,38.6118372527195,"Failure: non-random eligibility",434,1,0,42.1118372527195
13,12,0.662192680854257,0.13746290555132,"Complier",-5,56.7340079268439,51.7340079268439,"Failure: non-random eligibility",3243,0,0,56.7340079268439
14,13,0.76692451446321,0.705182625134361,"Complier",-5,45.058054480274,40.058054480274,"Failure: non-random eligibility",2782,0,0,45.058054480274
15,16,2.20937793163287,-0.104600999403941,"Never-taker",-3.5,50.604273598291,47.104273598291,"Failure: non-random eligibility",4566,0,0,50.604273598291
16,16,1.47007623927949,0.0290584861895064,"Never-taker",-3.5,48.4643948659504,44.9643948659504,"Failure: non-random eligibility",3150,0,0,48.4643948659504
17,12,-0.119374169886415,0.257285229464083,"Complier",-5,41.1451867143027,36.1451867143027,"Failure: non-random eligibility",1831,1,1,36.1451867143027
18,16,1.15279199690353,-0.35513428680708,"Never-taker",-3.5,52.2374136122472,48.7374136122472,"Failure: non-random eligibility",3708,0,0,52.2374136122472
19,11,-0.289335048444644,0.4849193898355,"Complier",-5,52.56815033843,47.56815033843,"Failure: non-random eligibility",3615,0,0,52.56815033843
20,11,-0.425584510163724,0.226132662192265,"Complier",-5,45.2582437918647,40.2582437918647,"Failure: non-random eligibility",2682,0,0,45.2582437918647
21,13,0.724447467442413,-0.509119147914325,"Never-taker",-3.5,47.7014831084939,44.2014831084939,"Failure: non-random eligibility",3203,0,0,47.7014831084939
22,13,0.542486073273509,1.26165723536284,"Complier",-5,46.3570876828518,41.3570876828518,"Failure: non-random eligibility",858,1,1,41.3570876828518
23,10,-1.32886936814926,-1.73162469205758,"Never-taker",-3.5,33.369276131035,29.869276131035,"Failure: non-random eligibility",2093,1,0,33.369276131035
24,14,-0.0103852985261703,0.456465518639114,"Complier",-5,49.2955502373677,44.2955502373677,"Failure: non-random eligibility",4118,0,0,49.2955502373677
25,10,-0.360645823999446,0.434582364823917,"Complier",-5,42.2167674047512,37.2167674047512,"Failure: non-random eligibility",125,1,1,37.2167674047512
26,11,-0.757419778745368,1.06184664280674,"Complier",-5,43.8775654429,38.8775654429,"Failure: non-random eligibility",351,1,1,38.8775654429
27,13,1.53571529104557,1.28186787667085,"Complier",-5,54.0999020283403,49.0999020283403,"Failure: non-random eligibility",1435,1,1,49.0999020283403
28,15,1.98512105447744,1.11064852420305,"Complier",-5,55.5368992845985,50.5368992845985,"Failure: non-random eligibility",4912,0,0,55.5368992845985
29,11,-0.118981194048811,0.259766330364401,"Complier",-5,41.4562925676195,36.4562925676195,"Failure: non-random eligibility",1008,1,1,36.4562925676195
30,13,0.613850243605777,-0.162733172462072,"Never-taker",-3.5,47.0531903943512,43.5531903943512,"Failure: non-random eligibility",3635,0,0,47.0531903943512
31,12,-1.77432950200885,-0.170224283303648,"Never-taker",-3.5,39.145091567864,35.645091567864,"Failure: non-random eligibility",1574,1,0,39.145091567864
32,13,-0.862336822718443,0.569742578243381,"Complier",-5,41.1201260431653,36.1201260431653,"Failure: non-random eligibility",3745,0,0,41.1201260431653
33,12,0.508285546505419,0.0094000122682039,"Never-taker",-3.5,46.1572359229597,42.6572359229597,"Failure: non-random eligibility",1213,1,0,46.1572359229597
34,13,-0.0227221430414782,-0.130598614795005,"Never-taker",-3.5,51.4246510615342,47.9246510615342,"Failure: non-random eligibility",2703,0,0,51.4246510615342
35,12,-0.0956465631415316,-0.0527592642815966,"Never-taker",-3.5,46.476599132633,42.976599132633,"Failure: non-random eligibility",3179,0,0,46.476599132633
36,10,-0.554970692523822,-0.211097713946982,"Never-taker",-3.5,41.5673843663043,38.0673843663043,"Failure: non-random eligibility",60,1,0,41.5673843663043
37,12,-0.157513277843465,-1.88950918297943,"Never-taker",-3.5,38.6769154238948,35.1769154238948,"Failure: non-random eligibility",1420,1,0,38.6769154238948
38,16,1.86353807726698,0.461441647452289,"Complier",-5,56.6823745753758,51.6823745753758,"Failure: non-random eligibility",2437,1,1,51.6823745753758
39,9,-2.43205938947711,0.205712857047789,"Complier",-5,38.1835394206872,33.1835394206872,"Failure: non-random eligibility",2355,1,1,33.1835394206872
40,12,-0.0747171443457199,1.79445744054344,"Always-taker",-2,52.2587645574148,50.2587645574148,"Failure: non-random eligibility",2266,1,1,50.2587645574148
41,12,-1.43187161485407,1.39176736701982,"Always-taker",-2,44.7232753530796,42.7232753530796,"Failure: non-random eligibility",370,1,1,42.7232753530796
42,11,-0.552277571155775,-1.07956054608719,"Never-taker",-3.5,35.5812992663723,32.0812992663723,"Failure: non-random eligibility",1091,1,0,35.5812992663723
43,13,0.0915793619105426,-0.0724254604018547,"Never-taker",-3.5,43.7833413744827,40.2833413744827,"Failure: non-random eligibility",3748,0,0,43.7833413744827
44,9,-2.7347947737201,-0.343063949912549,"Never-taker",-3.5,33.0122720798374,29.5122720798374,"Failure: non-random eligibility",640,1,0,33.0122720798374
45,13,0.665064474797054,1.49261821619897,"Always-taker",-2,45.2533831416866,43.2533831416866,"Failure: non-random eligibility",4007,0,1,43.2533831416866
