"pupil_id","school_id","female","disadvantaged","baseline_score","parental_education_years","simulated_parental_affluence","simulated_latent_motivation","simulated_y0","simulated_y1","simulated_individual_effect","assigned_small_class","received_small_class","end_school_year_score"
1,1,1,1,47.4631738455988,13.8545593174585,1.05390262171255,-0.594833522636396,44.1741557110286,48.1741557110286,4,1,1,48.1741557110286
2,1,0,0,45.7247754380196,10.6201063197657,-0.418627249256828,0.15785697858152,43.1175576093074,47.1175576093074,4,0,0,43.1175576093074
3,1,1,0,62.2830524902499,12.1877064145992,1.72159151597157,0.307522722500102,60.2574244988683,64.2574244988683,4,0,0,60.2574244988683
4,1,0,0,44.0552701254808,9.89996028587838,-0.452283644353864,-1.23595545825095,41.0132501190208,45.0132501190208,4,0,0,41.0132501190208
5,1,0,1,49.1450324839073,11.8321053072441,0.342102983223699,-0.265638103335064,40.1160477808071,44.1160477808071,4,0,0,40.1160477808071
6,1,1,0,38.2985727400178,11.4031449988779,-0.494798551579724,-0.575820286649766,39.0000567902651,43.0000567902651,4,0,0,39.0000567902651
7,1,1,0,49.8384372486896,16.0020621958139,-0.166699563620509,-0.38724936825402,54.5818673808154,58.5818673808154,4,1,1,58.5818673808154
8,1,1,0,59.2006100081702,13.2178043419059,1.80485274698825,0.319458476042131,56.8360871325603,60.8360871325603,4,0,0,56.8360871325603
9,1,1,0,58.4849731505722,13.3989474206439,1.39476254996473,0.357920678179915,62.008935220547,66.008935220547,4,1,1,66.008935220547
10,1,0,0,58.6495780244724,10.7474446254367,1.81071045975764,0.401060964040476,54.1889185789246,58.1889185789246,4,0,0,54.1889185789246
11,1,0,0,59.2966212496722,13.0161970770017,0.102225280816374,-0.502713657624808,51.7117791705043,55.7117791705043,4,1,1,55.7117791705043
12,1,0,0,54.2349511083391,13.6212036265762,0.330199674517141,-0.730530148777429,57.4613028303668,61.4613028303668,4,1,1,61.4613028303668
13,1,1,0,52.8888898230831,15.3732935141145,0.929283482185567,1.30871399066279,54.2180675416467,58.2180675416467,4,0,0,54.2180675416467
14,1,0,1,46.2578158389029,9.2894108608951,-2.2119138105568,0.553225366075276,33.6911519224118,37.6911519224118,4,0,0,33.6911519224118
15,1,1,0,51.2763494253634,13.7025293109343,2.77733998338665,0.839955018142656,59.7659792808378,63.7659792808378,4,0,0,59.7659792808378
16,1,1,0,39.9449068336499,12.6056253794655,-0.664120709362708,-1.16528400814848,38.6559606330169,42.6559606330169,4,1,1,42.6559606330169
17,1,0,0,44.1025031828141,11.8427600757486,-0.0430604636014841,-1.85975044591322,42.6151052576077,46.6151052576077,4,0,0,42.6151052576077
18,1,0,0,41.7468253630193,13.3725977015388,-0.526506280574961,-1.57661744150161,41.6431083374444,45.6431083374444,4,1,1,45.6431083374444
19,1,1,0,45.7791857069691,13.0686538185539,0.88404606236427,-1.63630082890441,51.0270410218582,55.0270410218582,4,1,1,55.0270410218582
20,1,0,0,54.9327904856333,14.6668678995628,1.65759582829699,0.288600773113889,61.992961718777,65.992961718777,4,1,1,65.992961718777
21,1,1,0,50.2606692568262,11.1292108878303,-0.005612564272631,1.72785137904197,51.7478477108362,55.7478477108362,4,1,1,55.7478477108362
22,1,0,1,47.1840338290765,12.0031777151602,0.242438665282741,-1.49153907627171,45.0308554332838,49.0308554332838,4,0,0,45.0308554332838
23,1,1,1,45.6670224922402,11.1285614701298,-0.259580942659952,1.24046937625315,43.6348644248751,47.6348644248751,4,0,0,43.6348644248751
24,1,1,0,41.6246086917766,10.210317833992,1.23658647286825,0.92616614404836,48.0110458169149,52.0110458169149,4,0,0,48.0110458169149
25,1,0,0,64.9560915751966,14.2360624330791,0.71116094908932,2.19797773357009,62.5406286056418,66.5406286056418,4,0,0,62.5406286056418
26,1,1,0,50.1153840242157,12.2862376101063,1.07820023931987,0.678747188623528,49.8364725093778,53.8364725093778,4,0,0,49.8364725093778
27,1,1,1,40.1543065350575,8.84416586862388,-0.775064594453706,0.49180273230353,41.161438155553,45.161438155553,4,0,0,41.161438155553
28,1,1,1,41.1207295858435,14.3072717366213,0.0338880865775306,-1.5594421674007,32.599768188855,36.599768188855,4,1,1,36.599768188855
29,1,0,0,51.2681210117295,14.4855160033046,1.7264913636669,0.14694373199063,52.3427556810926,56.3427556810926,4,0,0,52.3427556810926
30,1,1,0,65.2220897692612,12.4811244798043,-0.668827838712162,0.0980446137596351,58.3367703305435,62.3367703305435,4,1,1,62.3367703305435
31,1,0,0,56.5510396526475,14.7969586107904,0.342037636634896,1.78228265880094,52.054319308885,56.054319308885,4,0,0,52.054319308885
32,1,0,1,53.5641946692391,10.2070202691223,1.14926578246132,0.659053481406649,48.0639288895838,52.0639288895838,4,1,1,52.0639288895838
33,1,0,0,38.2395279049484,8.43959422300907,-0.0588393232462838,0.0367802013620481,36.705418910173,40.705418910173,4,0,0,36.705418910173
34,1,0,1,47.8317616014621,9.7127944051917,-0.741509875561719,-1.00119503715335,37.8515191976002,41.8515191976002,4,0,0,37.8515191976002
35,1,1,1,47.8800060947984,11.7174344274113,0.287342633656236,-0.840028018199185,49.1583797545316,53.1583797545316,4,0,0,49.1583797545316
