"municipality_id","year","area","population","population_log","population_log_squared","elderly_share","population_density","log_population_density","pm10","elderly_pm10","hospital","unobserved_risk","year_centered","ordinary_mortality","previous_year_mortality","true_pandemic_effect","reporting_shock","observed_mortality_ideal","observed_mortality_failure","historical_average_prediction","scenario","observed_mortality","selected_ml_method","mlcm_prediction","intuitive_excess","mlcm_excess","true_excess","non_pandemic_shock","intuitive_error","mlcm_error","true_no_pandemic_mortality"
1,2020,"South and Islands",10286,9.23849373967243,85.3497665779667,18.2357663832712,332.662443805042,5.80712829358997,20.6636287213983,376.817105994072,1,0.102202115299783,5,24.6982352397364,23.6287270575095,1.18503661239324,3,25.8832718521297,28.8832718521297,23.4669446157801,"Ideal: pandemic shock only",25.8832718521297,"Random forest",23.4836439992987,2.41632723634957,2.39962785283098,1.18503661239324,0,1.23129062395633,1.21459124043774,24.6982352397364
2,2020,"Center",14386,9.5740184656442,91.6618295804961,23.9070573168775,199.48993129326,5.29576376534831,21.2006829749451,506.845943038962,0,-0.102505265195586,5,28.4231608243064,26.9071927072636,4.84647241283822,1,33.2696332371446,34.2696332371446,26.1911690755809,"Ideal: pandemic shock only",33.2696332371446,"Random forest",27.1578638563079,7.07846416156368,6.11176938083667,4.84647241283822,0,2.23199174872546,1.26529696799846,28.4231608243064
3,2020,"North West",6884,8.83698100942289,78.0922333609007,29.3633249012393,100.850888839305,4.61364307783987,30.9091583116966,907.595657930187,1,-1.40259554374653,5,30.8687012397279,28.9789919091783,17.1262551206906,0,47.9949563604185,47.9949563604185,28.8890255692267,"Ideal: pandemic shock only",47.9949563604185,"Random forest",28.8546027844915,19.1059307911917,19.1403535759269,17.1262551206906,0,1.97967567050111,2.01409845523634,30.8687012397279
4,2020,"North West",3982,8.28942727418001,68.7146045339195,20.1177466372694,385.046606733733,5.9533643834123,33.7133579127027,678.236792779334,0,1.52125168619192,5,28.7859158559594,29.20411387194,16.3055354837244,0,45.0914513396838,45.0914513396838,28.178120481095,"Ideal: pandemic shock only",45.0914513396838,"Random forest",28.5803128838245,16.9133308585888,16.5111384558593,16.3055354837244,0,0.607795374864438,0.205602972134923,28.7859158559594
5,2020,"South and Islands",3587,8.18497332128901,66.9937882702129,23.8907750639684,256.764031206058,5.54815749660876,22.8290042469439,545.402605398117,1,-0.0343474656166524,5,27.4727447008122,27.4765471768368,1.95866385405813,3,29.4314085548703,32.4314085548703,26.0000961846205,"Ideal: pandemic shock only",29.4314085548703,"Random forest",27.2791935353811,3.43131237024977,2.15221501948923,1.95866385405813,0,1.47264851619164,0.1935511654311,27.4727447008122
6,2020,"North East",6299,8.74820815114058,76.5311458556824,25.9914775873801,103.278331287714,4.6374275892401,26.2223346338362,681.557222924133,0,0.342352276402927,5,29.5110435871732,27.6558310628478,10.4272742587159,0,39.9383178458891,39.9383178458891,28.2141653218007,"Ideal: pandemic shock only",39.9383178458891,"Random forest",28.1371860786906,11.7241525240884,11.8011317671985,10.4272742587159,0,1.2968782653725,1.37385750848261,29.5110435871732
7,2020,"South and Islands",4801,8.47649145982425,71.8509074684734,21.2940430517708,78.4633743319657,4.36263194689163,12,255.528516621249,0,-1.936613444441,5,22.5170090705947,21.4613357325205,0.914993035430316,3,23.4320021060251,26.4320021060251,20.8456419398421,"Ideal: pandemic shock only",23.4320021060251,"Random forest",21.2938840517209,2.58636016618293,2.13811805430411,0.914993035430316,0,1.67136713075262,1.2231250188738,22.5170090705947
8,2020,"South and Islands",1830,7.5118138441999,56.4273472299133,21.7363711877759,167.003260092106,5.11801333373583,21.3553858176639,464.188592990908,0,1.39367097976495,5,27.2786396565621,26.1408069593151,1.61852613762735,3,28.8971657941895,31.8971657941895,25.8805483465455,"Ideal: pandemic shock only",28.8971657941895,"Random forest",26.0701801256201,3.01661744764394,2.82698566856936,1.61852613762735,0,1.39809131001658,1.20845953094201,27.2786396565621
9,2020,"North East",1290,7.16218484888405,51.2968918095842,23.3533679380232,132.314383324117,4.88518078270303,25.8886651667357,604.587523063063,0,-0.157522735618335,5,26.6445229397462,26.4256304170177,10.1137253345896,0,36.7582482743358,36.7582482743358,26.6612641721932,"Ideal: pandemic shock only",36.7582482743358,"Random forest",26.9698964174094,10.0969841021425,9.78835185692639,10.1137253345896,0,-0.0167412324470497,-0.325373477663192,26.6445229397462
10,2020,"North East",2754,7.9207715144254,62.7386213837329,23.211262370144,67.7980992364357,4.21653415969253,36.6407212003251,850.477393212041,0,0.284345678893564,5,27.8804973548588,27.7629231618064,10.8507376444741,0,38.7312349993329,38.7312349993329,26.9858558854825,"Ideal: pandemic shock only",38.7312349993329,"Random forest",27.4719558874487,11.7453791138504,11.2592791118842,10.8507376444741,0,0.894641469376301,0.408541467410091,27.8804973548588
11,2020,"South and Islands",4848,8.48633727517333,72.0179203479963,21.5238464536095,223.44217233119,5.40915264380229,23.1413747201262,498.091396201437,0,-0.259634480914693,5,24.6487396301726,24.829923388856,1.72016764004141,3,26.368907270214,29.368907270214,24.3338070294692,"Ideal: pandemic shock only",26.368907270214,"Random forest",24.6729783457,2.03510024074473,1.69592892451398,1.72016764004141,0,0.314932600703317,-0.0242387155274331,24.6487396301726
12,2020,"Center",1294,7.16586168199184,51.3495736454389,20.6375578294386,225.10557686742,5.41656952267207,25.1788443701807,519.62985676804,0,1.24426604074983,5,27.9541393184479,27.3031650458502,4.76529876688643,1,32.7194380853344,33.7194380853344,26.7804329771759,"Ideal: pandemic shock only",32.7194380853344,"Random forest",26.8126209942568,5.93900510815843,5.90681709107755,4.76529876688643,0,1.173706341272,1.14151832419112,27.9541393184479
13,2020,"North West",7482,8.92020760247728,79.5701036712935,20.447922946792,261.879555042833,5.56788468448344,33.636038686689,687.78712730073,0,0.174944000493445,5,28.4960811005113,27.5755037438962,16.3364425319509,0,44.8325236324622,44.8325236324622,26.6550495902203,"Ideal: pandemic shock only",44.8325236324622,"Random forest",27.6652090501836,18.177474042242,17.1673145822786,16.3364425319509,0,1.84103151029108,0.830872050327713,28.4960811005113
14,2020,"North West",1005,6.91277249764589,47.7864236042094,27.328868627968,256.495065275403,5.54710942573337,27.0393474811807,738.954775099164,0,-0.012820598096498,5,30.2837905810738,30.6774365765926,16.6315781724947,0,46.9153687535685,46.9153687535685,29.6268020808238,"Ideal: pandemic shock only",46.9153687535685,"Random forest",30.1501919634414,17.2885666727447,16.765176790127,16.6315781724947,0,0.656988500250026,0.13359861763238,30.2837905810738
15,2020,"Center",719,6.57721184818334,43.2597156958833,18.7175132938513,70.6912453112666,4.25832173654017,34.4408466476493,644.64700497887,0,0.902773355888619,5,24.7292745194697,25.5305335153431,5.20243402739463,1,29.9317085468643,30.9317085468643,24.7849420520044,"Ideal: pandemic shock only",29.9317085468643,"Random forest",25.4485325852581,5.14676649485992,4.48317596160621,5.20243402739463,0,-0.055667532534704,-0.719258065788411,24.7292745194697
16,2020,"South and Islands",4172,8.33623312119931,69.4927826509803,17.2199381852919,65.0011395371597,4.17440480108288,26.0189371414685,448.044489223083,0,-0.874708957283175,5,21.8610452603894,20.8728141762534,1.44816710002044,3,23.3092123604099,26.3092123604099,21.0713409399273,"Ideal: pandemic shock only",23.3092123604099,"Random forest",21.2035936816501,2.23787142048254,2.10561867875976,1.44816710002044,0,0.789704320462101,0.657451578739324,21.8610452603894
