"event_time","estimate","std_error","period_type","conf_low","conf_high","outcome","lag","lead_max","model_label","model_tag","refinement_method","size_match","exact_match_variables","se_method","n_matched_sets"
-3,0,0.206095715731681,"Pre-treatment placebo",-0.403947602834095,0.403947602834095,"cert_tot",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-2,0.0857142857142857,0.192244533535953,"Pre-treatment placebo",-0.291085000016182,0.462513571444754,"cert_tot",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-1,0,0,"Baseline",0,0,"cert_tot",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
0,-0.257142857142857,0.563848982111742,"Post-treatment",-1.36228686208187,0.848001147796157,"cert_tot",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
1,-0.8,0.703234559167069,"Post-treatment",-2.17833973596745,0.578339735967454,"cert_tot",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-3,0.00157292616978231,0.198621217815757,"Pre-treatment placebo",-0.387724660749102,0.390870513088666,"cert_tot",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-2,0.0687957646701421,0.178511323466708,"Pre-treatment placebo",-0.281086429324605,0.418677958664889,"cert_tot",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-1,0,0,"Baseline",0,0,"cert_tot",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
0,-0.100576166568409,0.342801901277628,"Post-treatment",-0.772467893072561,0.571315559935742,"cert_tot",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
1,-0.602652302296809,0.466311706203329,"Post-treatment",-1.51662324645534,0.311318641861716,"cert_tot",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
