"event_time","estimate","std_error","period_type","conf_low","conf_high","outcome","lag","lead_max","model_label","model_tag","refinement_method","size_match","exact_match_variables","se_method","n_matched_sets"
-3,17.2199897154781,318.468868715976,"Pre-treatment placebo",-606.978992967836,641.418972398792,"impr_carb_su_sau",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-2,-227.433624254272,219.045443352912,"Pre-treatment placebo",-656.762693225979,201.895444717435,"impr_carb_su_sau",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-1,0,0,"Baseline",0,0,"impr_carb_su_sau",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
0,-389.152082564842,372.549619672097,"Post-treatment",-1119.34933712215,341.045171992469,"impr_carb_su_sau",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
1,-227.360856819211,486.172718280458,"Post-treatment",-1180.25938464891,725.537671010486,"impr_carb_su_sau",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-3,242.323168017199,117.522983664151,"Pre-treatment placebo",11.978120035463,472.668215998936,"impr_carb_su_sau",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-2,308.290895048632,347.378288817842,"Pre-treatment placebo",-372.570551034339,989.152341131603,"impr_carb_su_sau",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-1,0,0,"Baseline",0,0,"impr_carb_su_sau",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
0,-181.042779080496,291.936988041194,"Post-treatment",-753.239275641237,391.153717480244,"impr_carb_su_sau",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
1,4.50917961559596,305.953465161737,"Post-treatment",-595.159612101408,604.1779713326,"impr_carb_su_sau",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
