"event_time","estimate","std_error","period_type","conf_low","conf_high","outcome","lag","lead_max","model_label","model_tag","refinement_method","size_match","exact_match_variables","se_method","n_matched_sets"
-3,0.0080837993150843,0.0191594168308048,"Pre-treatment placebo",-0.0294686576732931,0.0456362563034617,"perc_fertilizzante_costi",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-2,0.0153172832826385,0.0182796404360006,"Pre-treatment placebo",-0.0205108119719227,0.0511453785371997,"perc_fertilizzante_costi",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-1,0,0,"Baseline",0,0,"perc_fertilizzante_costi",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
0,0.00114412172697485,0.0201323801065657,"Post-treatment",-0.0383153432818939,0.0406035867358436,"perc_fertilizzante_costi",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
1,0.00645721652545035,0.020748333551942,"Post-treatment",-0.0342095172363561,0.0471239502872568,"perc_fertilizzante_costi",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-3,0.007420052723933,0.0153594821190684,"Pre-treatment placebo",-0.0226845322294411,0.0375246376773071,"perc_fertilizzante_costi",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-2,0.0236933709020055,0.0137128898497292,"Pre-treatment placebo",-0.00318389320346367,0.0505706350074747,"perc_fertilizzante_costi",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-1,0,0,"Baseline",0,0,"perc_fertilizzante_costi",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
0,-0.00791416341772245,0.0115760398911568,"Post-treatment",-0.0306032016043898,0.0147748747689449,"perc_fertilizzante_costi",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
1,0.00159064332219092,0.0130232066178536,"Post-treatment",-0.0239348416488021,0.027116128293184,"perc_fertilizzante_costi",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
