"event_time","estimate","std_error","period_type","conf_low","conf_high","outcome","lag","lead_max","model_label","model_tag","refinement_method","size_match","exact_match_variables","se_method","n_matched_sets"
-3,0.376690779413496,0.213838889024318,"Pre-treatment placebo",-0.0424334430741684,0.79581500190116,"tox_media",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-2,-0.0847382579530988,0.121153865429454,"Pre-treatment placebo",-0.32219983419483,0.152723318288632,"tox_media",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-1,0,0,"Baseline",0,0,"tox_media",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
0,-0.324203222138541,0.258379864484653,"Post-treatment",-0.83062775652846,0.182221312251378,"tox_media",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
1,-0.171473642757961,0.233368241460052,"Post-treatment",-0.628875396019662,0.285928110503741,"tox_media",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-3,0.25165858731072,0.14426357215624,"Pre-treatment placebo",-0.0310980141155102,0.53441518873695,"tox_media",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-2,-0.167785975150382,0.0705835725818411,"Pre-treatment placebo",-0.30612977741079,-0.029442172889973,"tox_media",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-1,0,0,"Baseline",0,0,"tox_media",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
0,-0.172354486038889,0.158631939560964,"Post-treatment",-0.483273087578379,0.1385641155006,"tox_media",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
1,-0.029123333633694,0.175934070088331,"Post-treatment",-0.373954111006823,0.315707443739434,"tox_media",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
