"event_time","estimate","std_error","period_type","conf_low","conf_high","outcome","lag","lead_max","model_label","model_tag","refinement_method","size_match","exact_match_variables","se_method","n_matched_sets"
-3,35427.8571428571,32627.4615330125,"Pre-treatment placebo",-28521.9674618473,99377.6817475616,"valore_aggiunto",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-2,35414.1714285714,38516.6277551041,"Pre-treatment placebo",-40078.4189714326,110906.761828575,"valore_aggiunto",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-1,0,0,"Baseline",0,0,"valore_aggiunto",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
0,-16606.2285714286,18772.359127616,"Post-treatment",-53400.0524615559,20187.5953186988,"valore_aggiunto",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
1,6236.17142857143,50725.5210696477,"Post-treatment",-93185.8498679381,105658.192725081,"valore_aggiunto",3,1,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-3,35400.5921907368,31922.6749091877,"Pre-treatment placebo",-27167.850631271,97969.0350127446,"valore_aggiunto",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-2,50431.3622583245,36369.7979205805,"Pre-treatment placebo",-20853.4416660132,121716.166182662,"valore_aggiunto",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
-1,0,0,"Baseline",0,0,"valore_aggiunto",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
0,-12587.1892499812,16559.6571008745,"Post-treatment",-45044.1171676952,19869.7386677329,"valore_aggiunto",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
1,29675.5897985003,46869.9467959279,"Post-treatment",-62189.5059215184,121540.685518519,"valore_aggiunto",3,1,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",35
