"event_time","estimate","std_error","period_type","conf_low","conf_high","outcome","lag","lead_max","model_label","model_tag","refinement_method","size_match","exact_match_variables","se_method","n_matched_sets"
-2,0.137931034482759,0.155742287458352,"Pre-treatment placebo",-0.167323848935611,0.443185917901128,"cert_tot",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
-1,0,0,"Baseline",0,0,"cert_tot",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
0,0.701149425287356,0.520465188416644,"Post-treatment",-0.318962344009266,1.72126119458398,"cert_tot",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
1,-0.540229885057471,0.821245743971749,"Post-treatment",-2.1498715432421,1.06941177312716,"cert_tot",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
2,0.839080459770115,0.571138077987544,"Post-treatment",-0.28035017308547,1.9585110926257,"cert_tot",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
-2,-0.0328211361588464,0.114523750072716,"Pre-treatment placebo",-0.257287686301369,0.191645413983676,"cert_tot",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
-1,0,0,"Baseline",0,0,"cert_tot",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
0,0.959557465777771,0.388539267431578,"Post-treatment",0.198020501611878,1.72109442994366,"cert_tot",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
1,0.0375933436975739,0.278369270892977,"Post-treatment",-0.508010427252661,0.583197114647809,"cert_tot",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
2,0.940112144171991,0.416523025314165,"Post-treatment",0.123727014556227,1.75649727378775,"cert_tot",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
