"event_time","estimate","std_error","period_type","conf_low","conf_high","outcome","lag","lead_max","model_label","model_tag","refinement_method","size_match","exact_match_variables","se_method","n_matched_sets"
-2,0.0383141762452107,0.0396485441992739,"Pre-treatment placebo",-0.0393969703853661,0.116025322875788,"n_manodopera_w",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
-1,0,0,"Baseline",0,0,"n_manodopera_w",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
0,-0.0842911877394636,0.0587448125403436,"Post-treatment",-0.199431020318537,0.0308486448396098,"n_manodopera_w",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
1,-0.0727969348659004,0.0614034992641348,"Post-treatment",-0.193147793423604,0.0475539236918037,"n_manodopera_w",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
2,-0.0953256704980847,0.081071450995996,"Post-treatment",-0.254225714450237,0.0635743734540675,"n_manodopera_w",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
-2,0.064737105053358,0.0307787707717987,"Pre-treatment placebo",0.00441071434063255,0.125063495766083,"n_manodopera_w",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
-1,0,0,"Baseline",0,0,"n_manodopera_w",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
0,-0.0902470800551533,0.0565164267384569,"Post-treatment",-0.201019276462529,0.0205251163522223,"n_manodopera_w",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
1,-0.103344582606071,0.0596528102768957,"Post-treatment",-0.220264090748787,0.0135749255366443,"n_manodopera_w",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
2,-0.120062712885704,0.074733287164044,"Post-treatment",-0.26653995572723,0.0264145299558221,"n_manodopera_w",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
