"event_time","estimate","std_error","period_type","conf_low","conf_high","outcome","lag","lead_max","model_label","model_tag","refinement_method","size_match","exact_match_variables","se_method","n_matched_sets"
-2,0.0851063829787234,0.0360738985467706,"Pre-treatment placebo",0.0144015418270531,0.155811224130394,"n_manodopera",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
-1,0,0,"Baseline",0,0,"n_manodopera",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
0,-0.0815602836879433,0.0556330288190097,"Post-treatment",-0.190601020173202,0.0274804527973158,"n_manodopera",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
1,-0.106382978723404,0.0598280706199646,"Post-treatment",-0.223645997138535,0.0108800396917264,"n_manodopera",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
2,-0.184397163120567,0.0826931824868611,"Post-treatment",-0.346475800794815,-0.0223185254463195,"n_manodopera",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
-2,0.0617021276595745,0.0323415669326354,"Pre-treatment placebo",-0.00168734352839094,0.12509159884754,"n_manodopera",2,2,"Mahalanobis - 5 neighbors","mahalanobis_n5","mahalanobis",5,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
-1,0,0,"Baseline",0,0,"n_manodopera",2,2,"Mahalanobis - 5 neighbors","mahalanobis_n5","mahalanobis",5,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
0,-0.0723404255319149,0.0537952532899669,"Post-treatment",-0.17777912198025,0.0330982709164201,"n_manodopera",2,2,"Mahalanobis - 5 neighbors","mahalanobis_n5","mahalanobis",5,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
1,-0.0851063829787234,0.0584824686288307,"Post-treatment",-0.199732021491232,0.0295192555337847,"n_manodopera",2,2,"Mahalanobis - 5 neighbors","mahalanobis_n5","mahalanobis",5,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
2,-0.140425531914894,0.0758769195039248,"Post-treatment",-0.289144294142586,0.00829323031279905,"n_manodopera",2,2,"Mahalanobis - 5 neighbors","mahalanobis_n5","mahalanobis",5,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
-2,0.065525810988882,0.0295436181370872,"Pre-treatment placebo",0.00762031944019103,0.123431302537573,"n_manodopera",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
-1,0,0,"Baseline",0,0,"n_manodopera",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
0,-0.0910316135003443,0.0529688183790032,"Post-treatment",-0.194850497523191,0.012787270522502,"n_manodopera",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
1,-0.104950117408608,0.0561660560084814,"Post-treatment",-0.215035587185232,0.0051353523680155,"n_manodopera",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
2,-0.130667687060861,0.0707355703818258,"Post-treatment",-0.269309405009239,0.00797403088751808,"n_manodopera",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
