"event_time","estimate","std_error","period_type","conf_low","conf_high","outcome","lag","lead_max","model_label","model_tag","refinement_method","size_match","exact_match_variables","se_method","n_matched_sets"
-2,0.00757186333702385,0.00961061989325684,"Pre-treatment placebo",-0.0112649516537595,0.0264086783278072,"perc_fertilizzante_costi",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
-1,0,0,"Baseline",0,0,"perc_fertilizzante_costi",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
0,-0.0206649528666474,0.011030091757798,"Post-treatment",-0.0422839327119316,0.00095402697863671,"perc_fertilizzante_costi",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
1,-0.0169159064545087,0.0124669258900857,"Post-treatment",-0.0413510811990768,0.0075192682900593,"perc_fertilizzante_costi",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
2,-0.0154095909199624,0.0114365209096174,"Post-treatment",-0.0378251719028124,0.00700599006288763,"perc_fertilizzante_costi",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
-2,0.0105363719296608,0.00742762740307476,"Pre-treatment placebo",-0.00402177778036568,0.0250945216396874,"perc_fertilizzante_costi",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
-1,0,0,"Baseline",0,0,"perc_fertilizzante_costi",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
0,-0.0174319078877778,0.00831294291770172,"Post-treatment",-0.0337252760064731,-0.00113853976908238,"perc_fertilizzante_costi",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
1,-0.0219524341824203,0.00948886350530394,"Post-treatment",-0.040550606652816,-0.00335426171202455,"perc_fertilizzante_costi",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
2,-0.0202269534851092,0.00938831072658672,"Post-treatment",-0.0386280425092192,-0.00182586446099927,"perc_fertilizzante_costi",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
