"event_time","estimate","std_error","period_type","conf_low","conf_high","outcome","lag","lead_max","model_label","model_tag","refinement_method","size_match","exact_match_variables","se_method","n_matched_sets"
-2,0.159300377999229,0.175303748610617,"Pre-treatment placebo",-0.184294969277581,0.502895725276039,"tox_media",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
-1,0,0,"Baseline",0,0,"tox_media",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
0,-0.148048546122408,0.132818979324281,"Post-treatment",-0.408373745598,0.112276653353183,"tox_media",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
1,-0.159209613142342,0.139688769122944,"Post-treatment",-0.432999600623312,0.114580374338627,"tox_media",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
2,-0.284447101340897,0.196572074719261,"Post-treatment",-0.669728367790648,0.100834165108855,"tox_media",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
-2,0.249706470645854,0.147424038330792,"Pre-treatment placebo",-0.0392446444824981,0.538657585774206,"tox_media",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
-1,0,0,"Baseline",0,0,"tox_media",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
0,-0.174453096638187,0.101836059495048,"Post-treatment",-0.37405177324848,0.0251455799721066,"tox_media",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
1,-0.302301522523728,0.110835069009029,"Post-treatment",-0.519538257781425,-0.0850647872660312,"tox_media",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
2,-0.264623280381512,0.123600015503864,"Post-treatment",-0.506879310769086,-0.0223672499939386,"tox_media",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
