"event_time","estimate","std_error","period_type","conf_low","conf_high","outcome","lag","lead_max","model_label","model_tag","refinement_method","size_match","exact_match_variables","se_method","n_matched_sets"
-2,-2511.27586206897,4631.61501942391,"Pre-treatment placebo",-11589.2413001398,6566.6895760019,"utile_perdita_esercizio",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
-1,0,0,"Baseline",0,0,"utile_perdita_esercizio",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
0,-6951.63218390805,7755.91759419455,"Post-treatment",-22153.2306685294,8249.96630071327,"utile_perdita_esercizio",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
1,-2541.40229885057,9703.20323192977,"Post-treatment",-21559.6806334329,16476.8760357318,"utile_perdita_esercizio",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
2,6614.67816091954,7539.02445353363,"Post-treatment",-8161.80976800637,21391.1660898455,"utile_perdita_esercizio",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
-2,-761.166193146175,3479.88577638366,"Pre-treatment placebo",-7581.74231485816,6059.40992856581,"utile_perdita_esercizio",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
-1,0,0,"Baseline",0,0,"utile_perdita_esercizio",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
0,-6850.50159068647,4885.35804138822,"Post-treatment",-16425.8033518074,2724.80017043445,"utile_perdita_esercizio",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
1,-6702.77244437857,5266.17130896432,"Post-treatment",-17024.4682099486,3618.92332119149,"utile_perdita_esercizio",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
2,2106.404308722,5272.31852947483,"Post-treatment",-8227.34000904866,12440.1486264927,"utile_perdita_esercizio",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
