"event_time","estimate","std_error","period_type","conf_low","conf_high","outcome","lag","lead_max","model_label","model_tag","refinement_method","size_match","exact_match_variables","se_method","n_matched_sets"
-2,-1105.88505747126,5282.88443144259,"Pre-treatment placebo",-11460.3385430987,9248.5684281562,"valore_aggiunto",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
-1,0,0,"Baseline",0,0,"valore_aggiunto",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
0,-13717.7011494253,8575.73149104688,"Post-treatment",-30526.1348718772,3090.73257302659,"valore_aggiunto",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
1,-8519.25287356322,10542.0401648848,"Post-treatment",-29181.6515967374,12143.145849611,"valore_aggiunto",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
2,7594.79310344828,7459.20881589613,"Post-treatment",-7025.25617570814,22214.8423826047,"valore_aggiunto",2,2,"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
-2,-4211.55003960267,3885.95681042621,"Pre-treatment placebo",-11828.025388038,3404.92530883271,"valore_aggiunto",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
-1,0,0,"Baseline",0,0,"valore_aggiunto",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
0,-6687.21659259623,4887.42019838394,"Post-treatment",-16266.5601814287,2892.12699623629,"valore_aggiunto",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
1,-6939.78189710342,5199.69572004936,"Post-treatment",-17131.1855084002,3251.62171419333,"valore_aggiunto",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
2,4167.10727174375,6047.39916682978,"Post-treatment",-7685.79509524263,16020.0096387301,"valore_aggiunto",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam","unconditional",87
