"event_time","estimate","std_error","period_type","conf_low","conf_high","outcome","lag","lead_max","model_label","model_tag","refinement_method","size_match","exact_match_variables","se_method","n_matched_sets"
-2,-4593.40459770115,4176.65491269515,"Pre-treatment placebo",-12779.6482265836,3592.83903118135,"valore_aggiunto_w",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
-1,0,0,"Baseline",0,0,"valore_aggiunto_w",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
0,-4815.50022988506,5059.34041388543,"Post-treatment",-14731.8074411005,5100.80698133039,"valore_aggiunto_w",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
1,1932.40352490422,4748.87906592162,"Post-treatment",-7375.39944430216,11240.2064941106,"valore_aggiunto_w",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
2,13894.657164751,6208.65037743148,"Post-treatment",1725.70242498526,26063.6119045167,"valore_aggiunto_w",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
-2,-959.334284562974,4073.97071851328,"Pre-treatment placebo",-8944.316892849,7025.64832372306,"valore_aggiunto_w",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
-1,0,0,"Baseline",0,0,"valore_aggiunto_w",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
0,-16156.2173743925,7293.43598626824,"Post-treatment",-30451.3519074782,-1861.08284130673,"valore_aggiunto_w",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
1,-15153.8586205599,9271.83327391742,"Post-treatment",-33326.6518374381,3018.93459631821,"valore_aggiunto_w",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
2,5373.55142265414,6941.34385766814,"Post-treatment",-8231.48253837541,18978.5853836837,"valore_aggiunto_w",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_cond_fam","unconditional",87
